"ID","Race","Age","Sex","HS_GPA","ACT","ACT_ENG","ACT_MATH","ACT_READ","ACT_SCI","MAJOR_CODE","Stype","Hours"
"0001","White",22,"Male",3.47,21,22,20,23,19,"000122","C",14
"0002","Hispanic",28,"Female",3.14,19,17,17,16,19,"000030","T",2
"0003","White",26,"Male",3.44,26,27,23,27,27,"000107","N",19
"0004","Hawaiian",27,"Female",3.38,20,20,21,20,20,"000020","T",12
"0005","Hispanic",27,"Female",3.02,21,23,20,22,23,"000074","C",16
"0006","White",20,"Male",3.98,24,26,24,26,21,"000043","D",14
"0007","Black",22,"Male",3.11,22,24,22,24,18,"000040","N",16
"0008","White",20,"Female",3.58,22,22,20,22,23,"000114","C",15
"0009","White",28,"Female",1.71,NA,NA,NA,NA,NA,"000115","D",14
"0010","White",22,"Male",3.85,NA,NA,NA,NA,NA,"000050","C",15
"0011","Black",20,"Male",2.65,NA,NA,NA,NA,NA,"000011","N",12
"0012","Black",18,"Male",3.82,18,19,19,20,20,"000005","N",12
"0013","White",23,"Female",3.18,22,21,24,23,21,"000087","M",15
"0014","White",24,"Male",2.99,NA,NA,NA,NA,NA,"000104","T",15
"0015","White",20,"Male",3.18,NA,NA,NA,NA,NA,"000043","C",16
"0016","White",22,"Female",2.82,20,17,20,18,21,"000039","T",15
"0017","White",20,"Male",3.59,17,18,16,15,15,"000103","C",12
"0018","White",22,"Male",3.79,21,21,23,23,21,"000017","C",12
"0019","Hispanic",32,"Male",3.03,NA,NA,NA,NA,NA,"000106","M",18
"0020","White",20,"Female",3.57,25,24,23,29,21,"000043","M",14
"0021","Asian",25,"Female",3.33,18,18,18,17,18,"000033","C",6
"0022","White",32,"Male",3.37,30,31,29,30,29,"000010","T",14
"0023","White",27,"Female",3.36,NA,NA,NA,NA,NA,"000075","T",18
"0024","Hispanic",35,"Male",2.88,20,20,18,21,19,"000085","T",18
"0025","White",28,"Male",3.28,NA,NA,NA,NA,NA,"000107","C",14
"0026","White",27,"Male",3.32,NA,NA,NA,NA,NA,"000016","C",12
"0027","White",22,"Female",2.72,NA,NA,NA,NA,NA,"000104","T",2
"0028","White",18,"Male",3.98,17,15,19,17,17,"000050","C",3
"0029","White",23,"Male",3.22,22,21,21,22,21,"000043","R",16
"0030","Native",23,"Male",3.91,25,25,25,25,24,"000107","C",13
"0031","White",29,"Male",3.32,31,32,32,31,31,"000001","C",15
"0032","Asian",19,"Female",3,18,18,18,19,17,"000050","C",2
"0033","White",34,"Female",3.36,NA,NA,NA,NA,NA,"000005","T",15
"0034","White",26,"Female",2.75,27,26,26,26,27,"000005","N",12
"0035","White",33,"Female",2.86,NA,NA,NA,NA,NA,"000069","N",14
"0036","White",26,"Female",3.42,25,27,27,25,25,"000106","N",3
"0037","Hispanic",18,"Male",2.64,NA,NA,NA,NA,NA,"000022","C",12
"0038","Native",28,"Male",3.07,27,28,29,25,30,"000040","T",12
"0039","White",22,"Female",3.77,26,27,26,28,25,"000086","C",15
"0040","White",18,"Female",2.72,22,21,22,19,21,"000084","M",19
"0041","White",24,"Male",3.47,20,21,22,18,22,"000021","N",14
"0042","Black",20,"Male",3.57,NA,NA,NA,NA,NA,"000103","C",14
"0043","White",31,"Female",3.74,21,19,22,21,21,"000069","C",15
"0044","Black",30,"Male",3.52,26,25,27,26,26,"000098","M",9
"0045","White",26,"Male",3.42,23,23,23,25,22,"000038","T",3
"0046","Hispanic",27,"Female",3.82,NA,NA,NA,NA,NA,"000079","D",17
"0047","White",24,"Male",3.18,21,21,20,21,20,"000044","C",16
"0048","White",33,"Male",2.91,23,23,22,22,21,"000086","N",3
"0049","Black",35,"Female",3.66,22,22,23,22,21,"000026","P",10
"0050","Hispanic",27,"Male",3.27,NA,NA,NA,NA,NA,"000054","T",13
"0051","White",25,"Female",3.92,NA,NA,NA,NA,NA,"000029","N",9
"0052","White",34,"Female",3.2,NA,NA,NA,NA,NA,"000115","C",4
"0053","White",24,"Female",2.6,28,28,28,28,29,"000022","Y",15
"0054","White",31,"Male",2.6,28,28,28,28,29,"000030","C",9
"0055","White",30,"Female",3.64,25,24,24,26,27,"000104","S",13
"0056","White",27,"Male",3.28,22,23,21,23,24,"000005","T",15
"0057","White",24,"Male",1.52,21,21,21,21,22,"000107","C",15
"0058","White",24,"Male",3.96,18,15,18,19,17,"000001","C",15
"0059","Black",29,"Female",3.53,NA,NA,NA,NA,NA,"000122","C",16
"0060","Asian",26,"Female",2.92,19,21,20,20,18,"000021","M",14
"0061","Black",34,"Male",2.46,NA,NA,NA,NA,NA,"000087","C",9
"0062","White",23,"Female",3.06,NA,NA,NA,NA,NA,"000087","C",9
"0063","Black",35,"Female",3.41,18,18,19,20,18,"000079","C",10
"0064","White",26,"Female",3.21,NA,NA,NA,NA,NA,"000107","C",12
"0065","White",28,"Male",3.23,NA,NA,NA,NA,NA,"000077","C",15
"0066","White",30,"Female",2.93,23,25,22,24,23,"000092","C",16
"0067","White",22,"Female",2.84,16,15,15,19,16,"000089","C",14
"0068","White",22,"Female",2.72,26,28,25,26,27,"000107","T",12
"0069","Hispanic",35,"Male",3.99,NA,NA,NA,NA,NA,"000031","T",16
"0070","Hispanic",33,"Female",2.57,26,28,26,26,24,"000020","N",12
"0071","White",22,"Male",2.85,19,18,20,18,16,"000063","T",18
"0072","White",33,"Female",2.78,NA,NA,NA,NA,NA,"000006","C",5
"0073","White",33,"Female",2.76,NA,NA,NA,NA,NA,"000020","N",15
"0074","White",31,"Female",2.28,19,17,20,18,18,"000100","C",3
"0075","White",33,"Male",2.29,27,27,27,26,27,"000033","C",12
"0076","White",27,"Male",3.31,25,25,25,25,25,"000040","M",15
"0077","White",23,"Female",2.73,NA,NA,NA,NA,NA,"000114","P",12
"0078","White",30,"Male",3.45,20,21,18,21,20,"000074","T",15
"0079","White",20,"Male",3.27,17,18,17,18,15,"000022","N",13
"0080","Hispanic",24,"Male",3.4,17,15,16,16,16,"000107","M",6
"0081","White",19,"Female",3.13,NA,NA,NA,NA,NA,"000024","P",2
"0082","White",24,"Male",3.21,20,21,19,21,21,"000029","T",13
"0083","White",35,"Female",2.93,22,22,22,23,23,"000107","C",14
"0084","Hispanic",32,"Male",2.61,22,23,21,22,23,"000107","C",16
"0085","White",19,"Female",2.64,21,22,20,21,20,"000005","C",10
"0086","White",30,"Female",3.72,NA,NA,NA,NA,NA,"000021","T",17
"0087","White",31,"Male",2.87,27,28,26,29,25,"000001","C",6
"0088","White",21,"Male",2.6,22,25,21,24,20,"000104","D",15
"0089","White",26,"Female",3.81,NA,NA,NA,NA,NA,"000001","T",15
"0090","White",18,"Female",3.7,NA,NA,NA,NA,NA,"000029","N",14
"0091","Hispanic",21,"Female",3.66,22,21,23,23,20,"000069","T",3
"0092","White",27,"Male",2.91,19,18,18,19,23,"000017","N",15
"0093","White",35,"Female",3.47,18,18,18,17,19,"000053","C",14
"0094","White",19,"Female",3.1,NA,NA,NA,NA,NA,"000077","T",9
"0095","White",30,"Male",3.94,19,22,18,18,20,"000043","M",1
"0096","White",28,"Female",2.95,NA,NA,NA,NA,NA,"000050","T",14
"0097","White",34,"Female",1.87,25,26,24,25,25,"000100","N",17
"0098","White",34,"Male",2.65,NA,NA,NA,NA,NA,"000031","N",14
"0099","Black",31,"Male",3.77,20,22,21,20,20,"000005","M",10
"0100","White",21,"Male",3.91,NA,NA,NA,NA,NA,"000075","D",15
"0101","Black",21,"Male",3.97,NA,NA,NA,NA,NA,"000098","D",14
"0102","White",24,"Female",3.53,22,21,22,22,22,"000063","C",16
"0103","White",22,"Female",3.39,18,19,16,16,17,"000024","T",6
"0104","White",31,"Female",2.93,NA,NA,NA,NA,NA,"000001","N",3
"0105","Hispanic",23,"Female",3.87,24,23,24,25,22,"000114","R",7
"0106","White",27,"Male",2.91,NA,NA,NA,NA,NA,"000030","M",13
"0107","Black",22,"Male",3.19,16,16,17,18,16,"000001","C",15
