ID,Race,Age,Sex,HS_GPA,ACT,ACT_ENG,ACT_MATH,ACT_READ,ACT_SCI,MAJOR_CODE,Stype,Hours
2033,White,22,Male,3.67,23,24,24,21,22,109,C,15
2449,White,24,Female,2.8,23,23,25,21,24,111,C,16
7261,Native,33,Male,3.48,23,24,23,24,23,22,C,12
1073,White,18,Male,3.47,21,21,20,20,22,50,C,15
7762,Native,34,Female,2.99,22,21,25,22,25,85,C,3
7519,Hispanic,27,Male,2.87,25,26,25,28,23,54,C,15
3217,White,29,Female,2.83,22,22,22,23,23,22,C,14
7893,Hispanic,32,Male,3.09,24,22,24,25,24,31,C,2
8410,White,18,Male,2.96,20,20,18,18,20,105,C,4
7759,Black,20,Female,3.73,20,20,20,20,19,14,C,15
1333,Asian,21,Male,3.18,18,18,20,18,16,99,C,15
4466,White,32,Male,3.62,27,28,26,30,27,20,C,12
5685,Black,18,Male,3.36,28,27,28,26,30,31,C,4
2209,Black,26,Male,3.21,24,24,24,25,22,89,C,14
1069,Asian,25,Female,3.49,18,17,16,18,14,14,C,13
3583,White,22,Male,2.33,NA,NA,NA,NA,NA,31,C,8
5020,White,26,Male,2.05,NA,NA,NA,NA,NA,122,C,13
3091,White,18,Male,3.87,18,18,19,17,17,107,C,13
137,White,21,Female,3.28,22,20,22,21,22,111,C,12
5700,White,19,Female,3.48,NA,NA,NA,NA,NA,86,C,15
1830,White,22,Male,2.65,NA,NA,NA,NA,NA,122,C,14.5
7761,White,21,Male,3.47,25,24,23,23,24,32,C,5
4191,White,27,Male,2.71,21,22,22,22,21,24,C,14
6955,White,25,Male,3.68,17,15,16,16,18,21,C,19
8109,Hispanic,21,Female,2.75,19,20,19,19,19,3,C,13
7941,Hispanic,32,Female,3.67,18,18,19,19,17,33,C,13
4937,White,26,Male,3.87,18,17,20,17,17,56,C,13
1330,Black,32,Female,3.01,19,19,20,19,20,1,C,13
6715,White,27,Male,3.31,NA,NA,NA,NA,NA,100,C,15
7687,White,30,Male,3.83,22,21,23,23,23,5,C,12
6628,White,28,Female,3.34,20,20,22,23,19,72,C,6
532,Hispanic,22,Female,3.89,19,20,18,19,19,69,C,7
6720,White,25,Male,3.93,29,28,27,28,30,40,C,10
7599,White,21,Female,2.21,18,18,19,18,19,89,C,6
1288,Black,29,Female,3.83,16,18,16,16,15,86,C,16
7272,White,21,Male,3.03,22,21,23,22,22,85,C,15
5398,Black,35,Male,2.03,NA,NA,NA,NA,NA,47,C,2
218,Hispanic,23,Female,3.38,22,23,25,23,20,29,C,12
6752,Black,29,Male,2.31,21,23,21,21,22,104,C,12
2611,White,18,Male,3.95,22,22,24,23,23,1,C,15
6750,White,29,Female,2.82,20,22,23,18,19,114,C,14
6437,White,32,Male,3.11,18,20,19,15,16,31,C,12
1094,Native,34,Male,3.11,28,28,30,28,29,107,C,2
