"MAJOR_CODE","Prop","MAJOR_TITLE","COLLEGE","DEPARTMENT"
"000001",0.103356800326497,"Undesignated","Undesignated/Open Option","Undesignated/Open Option"
"000002",0.000102030405060708,"Graduate Undesignated/Open Option","Undesignated/Open Option","Undesignated/Open Option"
"000003",0.00683603713906744,"Fashion: Textiles & Clothing in Business","Health, Science and Technology","School of Technology"
"000004",0.0154065911641669,"Child & Family Development","Education","Ed Leadership & Human Dev"
"000005",0.0575451484542394,"Nursing","Health, Science and Technology","Nursing"
"000006",0.000612182430364249,"Electronics Technology","Health, Science and Technology","School of Technology"
"000007",0.000102030405060708,"Computer-Aided Draft & Design Technology","Health, Science and Technology","School of Technology"
"000008",0.0138761350882563,"Construction Management","Health, Science and Technology","School of Technology"
"000009",0.00530558106315682,"Safety Management","Health, Science and Technology","Environmental, Physical and Applied Sciences"
"000010",0.00448933782267116,"CDM - Emergency Management","Business and Professional Studies","Crisis and Disaster Management"
"000011",0.0012243648607285,"Occupational Education","Education","Middle, Secondary and Adult Education"
"000012",0.000612182430364249,"CDM - Environmental Hazards","Business and Professional Studies","Crisis and Disaster Management"
"000013",0.000102030405060708,"CDM - Business Continuity","Business and Professional Studies","Crisis and Disaster Management"
"000014",0.0134680134680135,"Accountancy","Business and Professional Studies","Economics and Finance and the School of Accountancy"
"000015",0.00479542903785328,"Art","Arts, Humanities, and Social Sciences","Art and Design"
"000016",0.00734618916437098,"Interior Design","Arts, Humanities, and Social Sciences","Art and Design"
"000017",0.00806040199979594,"Studio Art","Arts, Humanities, and Social Sciences","Art and Design"
"000018",0.0037751249872462,"Social Studies","Arts, Humanities, and Social Sciences","History & Anthropology"
"000019",0.00673400673400673,"Computer Information Systems","Business and Professional Studies","Computer Information Systems"
"000020",0.0129578614427099,"Finance","Business and Professional Studies","Economics and Finance and the School of Accountancy"
"000021",0.0216304458728701,"Management","Business and Professional Studies","Management"
"000022",0.0227527803285379,"Marketing","Business and Professional Studies","Marketing and Public Relations"
"000023",0.00857055402509948,"Speech-Language Pathology","Business and Professional Studies","Communication Disorders & Social Work"
"000024",0.00642791551882461,"Dietetics","Health, Science and Technology","Nutrition and Kinesiology"
"000025",0.00204060810121416,"Hotel & Restaurant Admin","Business and Professional Studies","Management"
"000026",0.00561167227833894,"Occupational Safety & Health","Health, Science and Technology","Environmental, Physical and Applied Sciences"
"000027",0.000612182430364249,"Agriculture-Business","Health, Science and Technology","Biology & Agriculture"
"000028",0.000102030405060708,"Earth Science","Health, Science and Technology","Environmental, Physical and Applied Sciences"
"000029",0.0309152127333946,"Computer Science","Health, Science and Technology","School of Computer Science and Mathematics"
"000030",0.0189776553412917,"Engineering Technology","Health, Science and Technology","School of Technology"
"000031",0.032853790429548,"Elementary Education (1-6)","Education","Elementary Education"
"000032",0.0179573512906846,"Elem Ed Early Childhood (B-3)","Education","Elementary Education"
"000033",0.0198959289868381,"RN to BS Nursing","Health, Science and Technology","Nursing"
"000034",0.000612182430364249,"Technology Management (2+2)","Health, Science and Technology","School of Technology"
"000035",0.000102030405060708,"Chemistry (Pre-Medical)","Health, Science and Technology","Environmental, Physical and Applied Sciences"
"000036",0.000816243240485665,"Forensic Chemistry","Health, Science and Technology","Environmental, Physical and Applied Sciences"
"000037",0.00102030405060708,"Biochemistry","Health, Science and Technology","Environmental, Physical and Applied Sciences"
"000038",0.00489745944291399,"English","Arts, Humanities, and Social Sciences","English & Philosophy"
"000039",0.00234669931639629,"English","Arts, Humanities, and Social Sciences","English & Philosophy"
"000040",0.0142842567084991,"Graphic Design","Arts, Humanities, and Social Sciences","Art and Design"
"000041",0.00051015202530354,"Philosophy","Arts, Humanities, and Social Sciences","English & Philosophy"
"000042",0.000306091215182124,"Technology 2+2","Health, Science and Technology","School of Technology"
"000043",0.0222426283032344,"Health Studies","Health, Science and Technology","Nutrition and Kinesiology"
"000044",0.0051015202530354,"Entrepreneurship & Soc Entrprs","Business and Professional Studies","Management"
"000045",0.000204060810121416,"Communication","Arts, Humanities, and Social Sciences","Communication"
"000046",0.00816243240485665,"Public Relations","Business and Professional Studies","Marketing and Public Relations"
"000047",0.00112233445566779,"Speech Communication & Theatre","Arts, Humanities, and Social Sciences","Theatre and Dance"
"000048",0.00132639526578921,"Theatre","Arts, Humanities, and Social Sciences","Theatre and Dance"
